census_tract,from,to,ratio_from,ratio_to
17031222200,2613.0,653.0,0.0001394196344249647,3.837833491861912e-05
17031222500,53.0,4.0,2.827876243598595e-06,2.350893410022611e-07
17031222600,27.0,2.0,1.4406161995690956e-06,1.1754467050113054e-07
17031222700,43.0,37.0,2.2943146882026337e-06,2.174576404270915e-06
17031222800,1.0,0.0,5.3356155539596136e-08,0.0
17031222900,6.0,0.0,3.201369332375768e-07,0.0
17031230100,42.0,3.0,2.2409585326630376e-06,1.763170057516958e-07
17031230200,3.0,1.0,1.600684666187884e-07,5.877233525056527e-08
17031230600,1.0,0.0,5.3356155539596136e-08,0.0
17031230700,4.0,1.0,2.1342462215838455e-07,5.877233525056527e-08
17031230800,14.0,0.0,7.46986177554346e-07,0.0
17031230900,50.0,4.0,2.667807776979807e-06,2.350893410022611e-07
17031231200,2.0,0.0,1.0671231107919227e-07,0.0
17031240200,3278.0,314.0,0.00017490147785879614,1.8454513268677495e-05
17031240300,12020.0,2523.0,0.0006413409895859455,0.0001482826018371762
17031240500,10349.0,1282.0,0.0005521828536792804,7.534613379122467e-05
17031240600,432.0,26.0,2.304985919310553e-05,1.528080716514697e-06
17031240700,38.0,7.0,2.0275339105046534e-06,4.114063467539569e-07
17031240800,40.0,8.0,2.1342462215838455e-06,4.701786820045222e-07
17031240900,777.0,198.0,4.14577328542662e-05,1.1636922379611924e-05
17031241000,58.0,7.0,3.094657021296576e-06,4.114063467539569e-07
17031241100,1464.0,153.0,7.811341170996875e-05,8.992167293336486e-06
17031241200,1254.0,127.0,6.690861904665356e-05,7.4640865768217895e-06
17031241300,1569.0,111.0,8.371580804162633e-05,6.5237292128127455e-06
17031241400,54133.0,26291.0,0.0028883287678249576,0.0015451834660726116
17031241500,18681.0,7973.0,0.0009967463416351954,0.00046859182895275694
17031241600,11265.0,24136.0,0.0006010570921535505,0.0014185290836076433
17031242000,21185.0,5167.0,0.0011303501551063442,0.00030367665623967074
17031242100,19041.0,4125.0,0.0010159545576294501,0.00024243588290858174
17031242200,18300.0,5146.0,0.0009764176463746093,0.0003024424371994089
17031242300,8592.0,3407.0,0.00045843608839621,0.00020023734619867587
17031242400,4268.0,621.0,0.00022772407184299632,3.649762019060104e-05
17031242500,2243.0,142.0,0.00011967785687531414,8.345671605580269e-06
17031242600,2358.0,167.0,0.0001258138147623677,9.814979986844401e-06
17031242700,79.0,5.0,4.215136287628095e-06,2.9386167625282637e-07
17031242800,242.0,21.0,1.2912189640582264e-05,1.2342190402618706e-06
17031242900,877.0,64.0,4.679334840822581e-05,3.7614294560361774e-06
17031243000,2055.0,375.0,0.00010964689963387006,2.2039625718961976e-05
17031243100,3649.0,1131.0,0.0001946966115639863,6.647151116838932e-05
